Customer Service	1980	F	58470.86423581743
Customer Service	1980	M	58535.51892237248
Customer Service	1990	F	57125.07867953129
Customer Service	1990	M	56759.81777359083
Customer Service	2000	F	70322.75642398286
Customer Service	2000	M	69324.47581512002
Development	1980	F	62490.51847045352
Development	1980	M	62556.73783119091
Development	1990	F	56434.18569882332
Development	1990	M	56444.467599034084
Development	2000	F	54844.77294685991
Development	2000	M	55914.9648241206
Finance	1980	F	74086.33015978696
Finance	1980	M	74456.52138794084
Finance	1990	F	67618.64952698244
Finance	1990	M	67295.66794662367
Finance	2000	F	59939.255102040814
Finance	2000	M	57103.75196850394
Human Resources	1980	F	58231.627111730515
Human Resources	1980	M	57767.14844517916
Human Resources	1990	F	52681.74363735996
Human Resources	1990	M	52510.66287924574
Human Resources	2000	F	63642.06936416185
Human Resources	2000	M	64997.86853448276
Marketing	1980	F	74118.47448764739
Marketing	1980	M	74710.69822249735
Marketing	1990	F	69633.50725746932
Marketing	1990	M	69752.55336902609
Marketing	2000	F	74152.49163568774
Marketing	2000	M	74911.70673076923
Production	1980	F	62526.574699551944
Production	1980	M	62881.239423708095
Production	1990	F	56819.519053700846
Production	1990	M	56933.306715875966
Production	2000	F	59362.639861651536
Production	2000	M	59288.02555622369
Quality Management	1980	F	60117.27610261026
Quality Management	1980	M	59627.77405507986
Quality Management	1990	F	54878.21726107937
Quality Management	1990	M	55065.67223450721
Quality Management	2000	F	60242.61875
Quality Management	2000	M	59717.38270676692
Research	1980	F	62507.08090233441
Research	1980	M	62773.06713573093
Research	1990	F	57719.74182209281
Research	1990	M	57580.738288178625
Research	2000	F	61211.59829059829
Research	2000	M	59763.314886552296
Sales	1980	F	83849.99776030818
Sales	1980	M	83949.2984255599
Sales	1990	F	77564.60840728632
Sales	1990	M	77803.87872751128
Sales	2000	F	73094.046854083
Sales	2000	M	71789.97524314765
